id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
63398958,67740818,8000.0,8000.0,8000.0, 36 months,15.61,279.72,D,D1,gas truck driver,8 years,RENT,78000.0,Verified,Nov-2015,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63398958,,major_purchase,Major purchase,908xx,CA,25.71,0.0,Aug-2001,4.0,,36.0,10.0,1.0,3324.0,50.0,62.0,f,0.0,0.0,8079.79,8079.79,8000.0,79.79,0.0,0.0,0.0,Dec-2015,8086.73,,0.0,27.0,1.0,INDIVIDUAL,,,0.0,0.0,66233.0,,,,,,,,,,,,6650.0,,,
27610673,30113747,21000.0,21000.0,21000.0, 36 months,10.15,679.1,B,B2,Solution Architect,3 years,RENT,81700.0,Source Verified,Oct-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=27610673,,debt_consolidation,Debt consolidation,280xx,NC,22.33,0.0,Oct-2006,0.0,,,5.0,0.0,11443.0,76.8,27.0,w,13015.76,13015.76,10186.5,10186.5,7984.24,2202.26,0.0,0.0,0.0,Jan-2016,679.1,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,81146.0,,,,,,,,,,,,14900.0,,,
49925091,53293877,19725.0,19725.0,19725.0, 36 months,7.89,617.11,A,A5,General Manager,10+ years,MORTGAGE,78000.0,Not Verified,May-2015,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49925091,,debt_consolidation,Debt consolidation,190xx,PA,14.12,0.0,Sep-2003,0.0,,26.0,7.0,2.0,12272.0,75.8,28.0,w,0.0,0.0,20360.22,20360.22,19725.0,635.22,0.0,0.0,0.0,Oct-2015,18474.31,,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,309243.0,,,,,,,,,,,,16200.0,,,
28102260,30615399,8000.0,8000.0,8000.0, 36 months,15.61,279.72,D,D1,bartender,9 years,RENT,35000.0,Source Verified,Oct-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=28102260,,debt_consolidation,Debt consolidation,906xx,CA,32.07,0.0,Apr-2006,1.0,,,12.0,0.0,8285.0,53.5,18.0,f,5111.22,5111.22,4227.73,4227.73,2888.78,1338.95,0.0,0.0,0.0,Jan-2016,279.72,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,38526.0,,,,,,,,,,,,15500.0,,,
57324697,61027428,35000.0,35000.0,34875.0, 36 months,16.99,1247.68,D,D3,E8,10+ years,RENT,85000.0,Source Verified,Aug-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57324697,,debt_consolidation,Debt consolidation,920xx,CA,25.19,0.0,Feb-1996,0.0,50.0,,9.0,0.0,37851.0,70.6,30.0,f,31131.3,31020.12,6205.36,6183.2,3868.7,2336.66,0.0,0.0,0.0,Jan-2016,1247.68,Feb-2016,0.0,50.0,1.0,INDIVIDUAL,,,0.0,0.0,88745.0,,,,,,,,,,,,53600.0,,,
61402817,65521655,24000.0,24000.0,24000.0, 36 months,12.29,800.48,C,C1,Legislative Specialist,10+ years,MORTGAGE,100000.0,Verified,Nov-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61402817,,debt_consolidation,Debt consolidation,323xx,FL,6.38,0.0,Nov-1997,0.0,25.0,,10.0,0.0,23981.0,68.9,20.0,w,23445.33,23445.33,866.02,866.02,554.67,311.35,0.0,0.0,0.0,Jan-2016,800.48,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,189681.0,,,,,,,,,,,,34800.0,,,
38700393,41485242,28000.0,28000.0,27950.0, 60 months,14.31,656.02,C,C4,Senior Paralegal,2 years,MORTGAGE,95000.0,Source Verified,Jan-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38700393,,debt_consolidation,Debt consolidation,553xx,MN,16.2,0.0,Jun-2002,1.0,28.0,,10.0,0.0,36937.0,56.0,32.0,w,22415.96,22375.93,9211.74,9195.29,5584.04,3627.7,0.0,0.0,0.0,Jan-2016,769.5,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,50599.0,,,,,,,,,,,,66000.0,,,
59955204,63899917,35000.0,35000.0,35000.0, 36 months,7.89,1095.0,A,A5,It Dev Manager ,10+ years,RENT,160000.0,Source Verified,Oct-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59955204,,home_improvement,Home improvement,112xx,NY,6.7,2.0,Jun-1998,0.0,6.0,,14.0,0.0,7894.0,9.5,26.0,w,32388.28,32388.28,3254.32,3254.32,2611.72,642.6,0.0,0.0,0.0,Jan-2016,1095.0,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,13932.0,,,,,,,,,,,,82900.0,,,
6156565,7638694,35000.0,35000.0,35000.0, 60 months,24.89,1025.05,F,F4,Waste Solutions Inc,6 years,RENT,78000.0,Verified,Jul-2013,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6156565,  Borrower added on 07/03/13 > Paying off and closing all credit cards time to organize it into one payment<br>,debt_consolidation,Debt Consolidation,021xx,MA,28.71,0.0,Jun-2003,3.0,,,10.0,0.0,10968.0,49.4,32.0,f,23278.81,23278.81,29718.33,29718.33,11721.19,17997.14,0.0,0.0,0.0,Jan-2016,1025.05,Jan-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,72838.0,,,,,,,,,,,,22200.0,,,
27511428,30014548,30000.0,30000.0,29950.0, 60 months,16.29,734.18,D,D2,Real Estate Appraiser/ Analyst,3 years,MORTGAGE,100000.0,Verified,Sep-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=27511428,,debt_consolidation,Debt consolidation,750xx,TX,16.31,0.0,Sep-2000,1.0,,39.0,11.0,1.0,13999.0,67.0,38.0,f,24601.27,24560.27,11012.7,10994.35,5398.73,5613.97,0.0,0.0,0.0,Dec-2015,734.18,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,120292.0,,,,,,,,,,,,20900.0,,,
22211257,24534216,5150.0,5150.0,5150.0, 36 months,13.98,175.97,C,C3,Account Manager,2 years,RENT,65000.0,Verified,Jul-2014,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=22211257,,debt_consolidation,Debt consolidation,801xx,CO,15.47,0.0,Sep-1994,6.0,71.0,60.0,14.0,1.0,4533.0,27.0,62.0,f,0.0,0.0,5910.82,5910.82,5150.0,760.82,0.0,0.0,0.0,Oct-2015,3447.24,,0.0,56.0,1.0,INDIVIDUAL,,,0.0,0.0,23213.0,,,,,,,,,,,,16995.0,,,
55627640,59269367,14700.0,14700.0,14700.0, 60 months,18.25,375.29,E,E1,LPN,< 1 year,MORTGAGE,41000.0,Source Verified,Jul-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55627640,,other,Other,349xx,FL,15.43,0.0,Apr-1999,0.0,59.0,,6.0,0.0,1197.0,12.3,19.0,w,13917.93,13917.93,1846.64,1846.64,782.07,1064.57,0.0,0.0,0.0,Jan-2016,375.29,Jan-2016,0.0,59.0,1.0,INDIVIDUAL,,,0.0,377.0,163506.0,,,,,,,,,,,,9700.0,,,
6175460,7667600,14000.0,14000.0,13975.0, 36 months,15.22,486.83,C,C3,National Distribution Service,2 years,RENT,60000.0,Source Verified,Jul-2013,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6175460,,car,Personal Loan,853xx,AZ,12.08,0.0,Apr-1998,2.0,37.0,,5.0,0.0,26207.0,86.8,20.0,f,0.0,0.0,16895.2417224,16865.09,14000.0,2895.24,0.0,0.0,0.0,Apr-2015,7163.14,,0.0,37.0,1.0,INDIVIDUAL,,,0.0,0.0,26207.0,,,,,,,,,,,,30200.0,,,
20298589,22561333,15000.0,15000.0,15000.0, 60 months,16.99,372.71,D,D3,firefighter,10+ years,RENT,52000.0,Not Verified,Jul-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=20298589,,debt_consolidation,Debt consolidation,815xx,CO,27.51,0.0,Aug-2003,1.0,42.0,,8.0,0.0,7238.0,73.9,27.0,w,11738.97,11738.97,6708.78,6708.78,3261.03,3447.75,0.0,0.0,0.0,Jan-2016,372.71,Feb-2016,0.0,42.0,1.0,INDIVIDUAL,,,0.0,0.0,189961.0,,,,,,,,,,,,9800.0,,,
11764904,13757054,10000.0,10000.0,10000.0, 36 months,11.99,332.1,B,B3,"VP, Senior Relationship Manager ",1 year,RENT,150000.0,Verified,Feb-2014,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11764904,,credit_card,Credit card refinancing,915xx,CA,6.51,0.0,Sep-1993,1.0,61.0,53.0,9.0,1.0,6360.0,47.1,41.0,f,0.0,0.0,10952.46,10952.46,10000.0,952.46,0.0,0.0,0.0,Dec-2014,7963.56,,0.0,61.0,1.0,INDIVIDUAL,,,0.0,0.0,36211.0,,,,,,,,,,,,13500.0,,,
36221771,38933206,4200.0,4200.0,4200.0, 36 months,15.59,146.82,D,D1,Residence Director,6 years,MORTGAGE,39000.0,Not Verified,Dec-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=36221771,,other,Other,109xx,NY,23.73,4.0,Jan-2001,0.0,15.0,,3.0,0.0,1154.0,76.9,21.0,f,2902.6,2902.6,1901.38,1901.38,1297.4,603.98,0.0,0.0,0.0,Jan-2016,146.82,Feb-2016,0.0,15.0,1.0,INDIVIDUAL,,,0.0,0.0,2952.0,,,,,,,,,,,,1500.0,,,
38568762,41352693,12000.0,12000.0,12000.0, 36 months,8.19,377.09,A,A5,Financial Operations Manager,< 1 year,MORTGAGE,70000.0,Not Verified,Feb-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38568762,,debt_consolidation,Debt consolidation,234xx,VA,18.29,0.0,Jun-2001,0.0,76.0,67.0,5.0,1.0,18046.0,83.5,13.0,w,8639.8,8639.8,4142.53,4142.53,3360.2,782.33,0.0,0.0,0.0,Jan-2016,377.09,Feb-2016,0.0,,1.0,INDIVIDUAL,,,0.0,0.0,220442.0,,,,,,,,,,,,21600.0,,,
